data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-03-31,T1,2,Passivo Total,1263875.0
2020-03-31,T1,2.01,Passivo Circulante,519342.0
2020-03-31,T1,2.01.01,Obrigações Sociais e Trabalhistas,11709.0
2020-03-31,T1,2.01.01.01,Obrigações Sociais,0.0
2020-03-31,T1,2.01.01.02,Obrigações Trabalhistas,11709.0
2020-03-31,T1,2.01.02,Fornecedores,54281.0
2020-03-31,T1,2.01.02.01,Fornecedores Nacionais,54281.0
2020-03-31,T1,2.01.02.02,Fornecedores Estrangeiros,0.0
2020-03-31,T1,2.01.03,Obrigações Fiscais,8131.0
2020-03-31,T1,2.01.03.01,Obrigações Fiscais Federais,8131.0
2020-03-31,T1,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,8131.0
2020-03-31,T1,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2020-03-31,T1,2.01.03.03,Obrigações Fiscais Municipais,0.0
2020-03-31,T1,2.01.04,Empréstimos e Financiamentos,60662.0
2020-03-31,T1,2.01.04.01,Empréstimos e Financiamentos,60662.0
2020-03-31,T1,2.01.04.01.01,Em Moeda Nacional,60662.0
2020-03-31,T1,2.01.04.01.02,Em Moeda Estrangeira,0.0
2020-03-31,T1,2.01.04.02,Debêntures,0.0
2020-03-31,T1,2.01.04.03,Financiamento por Arrendamento,0.0
2020-03-31,T1,2.01.05,Outras Obrigações,360874.0
2020-03-31,T1,2.01.05.01,Passivos com Partes Relacionadas,0.0
2020-03-31,T1,2.01.05.01.01,Débitos com Coligadas,0.0
2020-03-31,T1,2.01.05.01.03,Débitos com Controladores,0.0
2020-03-31,T1,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2020-03-31,T1,2.01.05.02,Outros,360874.0
2020-03-31,T1,2.01.05.02.01,Dividendos e JCP a Pagar,170000.0
2020-03-31,T1,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2020-03-31,T1,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2020-03-31,T1,2.01.05.02.04,Outros contas a pagar,2465.0
2020-03-31,T1,2.01.05.02.05,Credores por imoveis compromissados,74798.0
2020-03-31,T1,2.01.05.02.06,Adiantamento de clientes,113611.0
2020-03-31,T1,2.01.06,Provisões,23685.0
2020-03-31,T1,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,23685.0
2020-03-31,T1,2.01.06.01.01,Provisões Fiscais,10985.0
2020-03-31,T1,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,12700.0
2020-03-31,T1,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2020-03-31,T1,2.01.06.01.04,Provisões Cíveis,0.0
2020-03-31,T1,2.01.06.02,Outras Provisões,0.0
2020-03-31,T1,2.01.06.02.01,Provisões para Garantias,0.0
2020-03-31,T1,2.01.06.02.02,Provisões para Reestruturação,0.0
2020-03-31,T1,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2020-03-31,T1,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2020-03-31,T1,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2020-03-31,T1,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2020-03-31,T1,2.02,Passivo Não Circulante,368909.0
2020-03-31,T1,2.02.01,Empréstimos e Financiamentos,234669.0
2020-03-31,T1,2.02.01.01,Empréstimos e Financiamentos,234669.0
2020-03-31,T1,2.02.01.01.01,Em Moeda Nacional,234669.0
2020-03-31,T1,2.02.01.01.02,Em Moeda Estrangeira,0.0
2020-03-31,T1,2.02.01.02,Debêntures,0.0
2020-03-31,T1,2.02.01.03,Financiamento por Arrendamento,0.0
2020-03-31,T1,2.02.02,Outras Obrigações,99914.0
2020-03-31,T1,2.02.02.01,Passivos com Partes Relacionadas,27645.0
2020-03-31,T1,2.02.02.01.01,Débitos com Coligadas,0.0
2020-03-31,T1,2.02.02.01.03,Débitos com Controladores,0.0
