cd_conta,conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
1,Ativo Total,1169439000.0,1133898000.0,1241933000.0,1276415000.0,1203294000.0,1316342000.0,1324122000.0,1353241000.0,1323995000.0,1361222000.0,1373518000.0,1434969000.0,1441407000.0,1469095000.0,1524489000.0,1552797000.0,1545971000.0,1566311000.0,1613947000.0,1637481000.0,1848102000.0,1954009000.0,1998284000.0,2019251000.0,2023217000.0,1957245000.0,2043009000.0,2069206000.0,2069267000.0,2165608000.0,2283335000.0,2323440000.0,2388492000.0,2434208000.0,2509117000.0,2543100000.0,2608695000.0,2722720000.0,2783431000.0,2854475000.0,2802812000.0,2877420000.0,2969351000.0
1.01,Caixa e Equivalentes de Caixa,18687000.0,18005000.0,18138000.0,18544000.0,18384000.0,21852000.0,20176000.0,18542000.0,20224000.0,22700000.0,19089000.0,18749000.0,25444000.0,25402000.0,29467000.0,37159000.0,30376000.0,33242000.0,27721000.0,30367000.0,38275000.0,43368000.0,47069000.0,46224000.0,39369000.0,39837000.0,42222000.0,44512000.0,42722000.0,33839000.0,35402000.0,35381000.0,33007000.0,30636000.0,33672000.0,32001000.0,34344000.0,33862000.0,37868000.0,36127000.0,38893000.0,32177000.0,34369000.0
1.02,Ativos Financeiros,550360000.0,542926000.0,591742000.0,644668000.0,602668000.0,647155000.0,675042000.0,708054000.0,700436000.0,731653000.0,759068000.0,783308000.0,775123000.0,1354005000.0,1396078000.0,1424876000.0,1419133000.0,1438026000.0,1486269000.0,1501481000.0,1681710000.0,1785757000.0,1822045000.0,1851322000.0,1859873000.0,1809295000.0,1888068000.0,1915573000.0,1917867000.0,2017644000.0,2133739000.0,2172726000.0,2234723000.0,2281671000.0,2350062000.0,2384618000.0,2442357000.0,2553407000.0,2604774000.0,2673301000.0,2620833000.0,2696898000.0,2785733000.0
1.02.01,Depósito Compulsório Banco Central,63235000.0,60157000.0,65263000.0,602483000.0,67001000.0,68698000.0,76388000.0,667559000.0,84630000.0,88607000.0,94820000.0,746748000.0,95991000.0,84800000.0,85957000.0,380794000.0,91278000.0,91851000.0,87133000.0,322929000.0,67772000.0,89744000.0,87954000.0,465581000.0,91317000.0,98217000.0,99341000.0,434169000.0,101395000.0,105151000.0,123488000.0,464682000.0,125785000.0,136749000.0,146139000.0,568354000.0,589911000.0,616120000.0,597015000.0,654194000.0,696900000.0,715910000.0,720605000.0
1.02.02,Ativos Financeiros ao Valor Justo através do Resultado,37702000.0,39078000.0,42406000.0,42185000.0,41104000.0,40684000.0,41186000.0,40495000.0,38848000.0,39092000.0,38598000.0,36560000.0,92353000.0,52732000.0,48793000.0,49323000.0,51611000.0,53781000.0,58688000.0,76660000.0,83936000.0,106279000.0,93691000.0,109942000.0,101796000.0,108817000.0,112335000.0,105622000.0,77415000.0,108657000.0,100132000.0,121052000.0,133797000.0,134347000.0,140422000.0,130039000.0,131869000.0,136226000.0,104863000.0,106303000.0,116152000.0,117285000.0,130105000.0
1.02.03,Ativos Financeiros ao Valor Justo através de ORA,37702000.0,39078000.0,42406000.0,,41104000.0,40684000.0,41186000.0,,38848000.0,39092000.0,38598000.0,,92353000.0,936306000.0,1001990000.0,994759000.0,990063000.0,1010906000.0,1117552000.0,1101892000.0,1226866000.0,1288328000.0,1336037000.0,1275799000.0,1268601000.0,1236872000.0,1310289000.0,1375782000.0,1384923000.0,1454814000.0,1587342000.0,1586992000.0,1618424000.0,1606250000.0,1684906000.0,1686225000.0,1720577000.0,1801061000.0,1902896000.0,1912804000.0,1807781000.0,1863703000.0,1935023000.0
1.02.04,Ativos Financeiros ao Custo Amortizado,,,,,,,,,,,,,,936306000.0,1001990000.0,,990063000.0,1010906000.0,1117552000.0,,1226866000.0,1288328000.0,1336037000.0,,1268601000.0,1236872000.0,1310289000.0,,1384923000.0,1454814000.0,1587342000.0,,1618424000.0,1606250000.0,1684906000.0,,1720577000.0,1801061000.0,1902896000.0,,1807781000.0,1863703000.0,1935023000.0
1.02.03.04,Operações de Crédito,,,,,,,,,,,,,,,,,,556358000.0,579208000.0,585791000.0,642065000.0,660684000.0,692508000.0,714104000.0,742123000.0,728348000.0,772064000.0,822590000.0,819153000.0,862528000.0,883355000.0,909422000.0,916231000.0,901185000.0,905804000.0,910590000.0,905096000.0,304728000.0,303347000.0,327507000.0,313034000.0,314794000.0,314215000.0
1.02.03.06,Provisão para Perdas Esperadas,,,,,,,,,,,,,,,,,,-31691000.0,-33332000.0,-36029000.0,-42747000.0,-44531000.0,-46702000.0,-47051000.0,-45590000.0,-41395000.0,-39251000.0,-41079000.0,-42664000.0,-45378000.0,-47857000.0,-50687000.0,-51238000.0,-51937000.0,-52197000.0,-47539000.0,-47116000.0,132408000.0,124486000.0,136713000.0,131882000.0,137625000.0,144277000.0
1.03,Tributos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46975000.0,46822000.0,42830000.0,41818000.0,40379000.0,45331000.0,48960000.0,65977000.0,70253000.0,72471000.0,66095000.0,66407000.0,60895000.0,61698000.0,58433000.0,57897000.0,59582000.0,59238000.0,59480000.0,60800000.0,62357000.0,65050000.0,64521000.0,65775000.0,68505000.0,71295000.0,72653000.0,73576000.0,77954000.0,79265000.0
