data_fim,trimestre,cd_conta,ds_conta,valor_mil
2015-12-31,T4,2,Passivo Total,3235583.0
2015-12-31,T4,2.01,Passivo Circulante,324502.0
2015-12-31,T4,2.01.01,Obrigações Sociais e Trabalhistas,2581.0
2015-12-31,T4,2.01.01.01,Obrigações Sociais,0.0
2015-12-31,T4,2.01.01.02,Obrigações Trabalhistas,2581.0
2015-12-31,T4,2.01.02,Fornecedores,21945.0
2015-12-31,T4,2.01.02.01,Fornecedores Nacionais,21945.0
2015-12-31,T4,2.01.02.02,Fornecedores Estrangeiros,0.0
2015-12-31,T4,2.01.03,Obrigações Fiscais,72805.0
2015-12-31,T4,2.01.03.01,Obrigações Fiscais Federais,72805.0
2015-12-31,T4,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0
2015-12-31,T4,2.01.03.01.02,"Impostos, Taxas e Contribuições",59071.0
2015-12-31,T4,2.01.03.01.03,Impostos Parcelados,13734.0
2015-12-31,T4,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2015-12-31,T4,2.01.03.03,Obrigações Fiscais Municipais,0.0
2015-12-31,T4,2.01.04,Empréstimos e Financiamentos,118786.0
2015-12-31,T4,2.01.04.01,Empréstimos e Financiamentos,118786.0
2015-12-31,T4,2.01.04.01.01,Em Moeda Nacional,53717.0
2015-12-31,T4,2.01.04.01.02,Em Moeda Estrangeira,65069.0
2015-12-31,T4,2.01.04.02,Debêntures,0.0
2015-12-31,T4,2.01.04.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.01.05,Outras Obrigações,108385.0
2015-12-31,T4,2.01.05.01,Passivos com Partes Relacionadas,30387.0
2015-12-31,T4,2.01.05.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.01.05.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.01.05.01.04,Débitos com Outras Partes Relacionadas,30387.0
2015-12-31,T4,2.01.05.02,Outros,77998.0
2015-12-31,T4,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2015-12-31,T4,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2015-12-31,T4,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2015-12-31,T4,2.01.05.02.04,Contas a Pagar - Compra de Imóveis,0.0
2015-12-31,T4,2.01.05.02.05,Cédulas de Crédito Imobiliário - CCIs,57785.0
2015-12-31,T4,2.01.05.02.06,Outras Contas a Pagar,9825.0
2015-12-31,T4,2.01.05.02.07,Receitas de cessões a apropriar,10388.0
2015-12-31,T4,2.01.06,Provisões,0.0
2015-12-31,T4,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2015-12-31,T4,2.01.06.01.01,Provisões Fiscais,0.0
2015-12-31,T4,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2015-12-31,T4,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2015-12-31,T4,2.01.06.01.04,Provisões Cíveis,0.0
2015-12-31,T4,2.01.06.02,Outras Provisões,0.0
2015-12-31,T4,2.01.06.02.01,Provisões para Garantias,0.0
2015-12-31,T4,2.01.06.02.02,Provisões para Reestruturação,0.0
2015-12-31,T4,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2015-12-31,T4,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2015-12-31,T4,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2015-12-31,T4,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2015-12-31,T4,2.02,Passivo Não Circulante,2130781.0
2015-12-31,T4,2.02.01,Empréstimos e Financiamentos,1400890.0
2015-12-31,T4,2.02.01.01,Empréstimos e Financiamentos,1400890.0
2015-12-31,T4,2.02.01.01.01,Em Moeda Nacional,174634.0
2015-12-31,T4,2.02.01.01.02,Em Moeda Estrangeira,1226256.0
2015-12-31,T4,2.02.01.02,Debêntures,0.0
2015-12-31,T4,2.02.01.03,Financiamento por Arrendamento Financeiro,0.0
2015-12-31,T4,2.02.02,Outras Obrigações,620962.0
2015-12-31,T4,2.02.02.01,Passivos com Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.01.01,Débitos com Coligadas,0.0
2015-12-31,T4,2.02.02.01.03,Débitos com Controladores,0.0
2015-12-31,T4,2.02.02.01.04,Débitos com Outras Partes Relacionadas,0.0
2015-12-31,T4,2.02.02.02,Outros,620962.0
