data_fim,trimestre,cd_conta,ds_conta,valor_mil
2020-03-31,T1,2,Passivo Total,263697.0
2020-03-31,T1,2.01,Passivo Circulante,187229.0
2020-03-31,T1,2.01.01,Obrigações Sociais e Trabalhistas,12465.0
2020-03-31,T1,2.01.01.01,Obrigações Sociais,12465.0
2020-03-31,T1,2.01.01.01.01,Obrigações trabalhistas e previdenciárias,12465.0
2020-03-31,T1,2.01.01.02,Obrigações Trabalhistas,0.0
2020-03-31,T1,2.01.02,Fornecedores,22198.0
2020-03-31,T1,2.01.02.01,Fornecedores Nacionais,0.0
2020-03-31,T1,2.01.02.02,Fornecedores Estrangeiros,0.0
2020-03-31,T1,2.01.03,Obrigações Fiscais,5747.0
2020-03-31,T1,2.01.03.01,Obrigações Fiscais Federais,5747.0
2020-03-31,T1,2.01.03.01.01,Imposto de Renda e Contribuição Social a Pagar,0.0
2020-03-31,T1,2.01.03.01.02,Obrigações tributárias,5747.0
2020-03-31,T1,2.01.03.02,Obrigações Fiscais Estaduais,0.0
2020-03-31,T1,2.01.03.03,Obrigações Fiscais Municipais,0.0
2020-03-31,T1,2.01.04,Empréstimos e Financiamentos,5974.0
2020-03-31,T1,2.01.04.01,Empréstimos e Financiamentos,0.0
2020-03-31,T1,2.01.04.01.01,Em Moeda Nacional,0.0
2020-03-31,T1,2.01.04.01.02,Em Moeda Estrangeira,0.0
2020-03-31,T1,2.01.04.02,Debêntures,0.0
2020-03-31,T1,2.01.04.03,Financiamento por Arrendamento,5974.0
2020-03-31,T1,2.01.04.03.01,Arrendamentos direito de uso a pagar,5974.0
2020-03-31,T1,2.01.05,Outras Obrigações,140845.0
2020-03-31,T1,2.01.05.01,Passivos com Partes Relacionadas,0.0
2020-03-31,T1,2.01.05.01.01,Débitos com Coligadas,0.0
2020-03-31,T1,2.01.05.01.03,Débitos com Controladores,0.0
2020-03-31,T1,2.01.05.01.04,Débitos com Outras Partes Relacionadas,0.0
2020-03-31,T1,2.01.05.02,Outros,140845.0
2020-03-31,T1,2.01.05.02.01,Dividendos e JCP a Pagar,0.0
2020-03-31,T1,2.01.05.02.02,Dividendo Mínimo Obrigatório a Pagar,0.0
2020-03-31,T1,2.01.05.02.03,Obrigações por Pagamentos Baseados em Ações,0.0
2020-03-31,T1,2.01.05.02.04,Partes relacionadas,2566.0
2020-03-31,T1,2.01.05.02.05,Dividendos a pagar,123295.0
2020-03-31,T1,2.01.05.02.06,Aluguéis a pagar,816.0
2020-03-31,T1,2.01.05.02.07,Outras obrigações,14168.0
2020-03-31,T1,2.01.06,Provisões,0.0
2020-03-31,T1,2.01.06.01,Provisões Fiscais Previdenciárias Trabalhistas e Cíveis,0.0
2020-03-31,T1,2.01.06.01.01,Provisões Fiscais,0.0
2020-03-31,T1,2.01.06.01.02,Provisões Previdenciárias e Trabalhistas,0.0
2020-03-31,T1,2.01.06.01.03,Provisões para Benefícios a Empregados,0.0
2020-03-31,T1,2.01.06.01.04,Provisões Cíveis,0.0
2020-03-31,T1,2.01.06.02,Outras Provisões,0.0
2020-03-31,T1,2.01.06.02.01,Provisões para Garantias,0.0
2020-03-31,T1,2.01.06.02.02,Provisões para Reestruturação,0.0
2020-03-31,T1,2.01.06.02.03,Provisões para Passivos Ambientais e de Desativação,0.0
2020-03-31,T1,2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0
2020-03-31,T1,2.01.07.01,Passivos sobre Ativos Não-Correntes a Venda,0.0
2020-03-31,T1,2.01.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0
2020-03-31,T1,2.02,Passivo Não Circulante,64304.0
2020-03-31,T1,2.02.01,Empréstimos e Financiamentos,41756.0
2020-03-31,T1,2.02.01.01,Empréstimos e Financiamentos,0.0
2020-03-31,T1,2.02.01.01.01,Em Moeda Nacional,0.0
2020-03-31,T1,2.02.01.01.02,Em Moeda Estrangeira,0.0
2020-03-31,T1,2.02.01.02,Debêntures,0.0
2020-03-31,T1,2.02.01.03,Financiamento por Arrendamento,41756.0
